doctype,filename,url,title,operating_unit,project_id,document_category,pdc_document_type,document_id,modified,created,UN Languages,id,last_update,eval1,eval2,score,pages,project_title_cond,summary_desc_cond,project_id_cond,implementing_partner_cond,start_date_cond,end_date_cond,budget_cond,concept_note_cond,project_document_cond,awp_cond,v1,v2
document deleted,ARG10_00124302.PDF,Document deleted,Annual Workplan 2019/20,ARG,00124302,Project,PRODOC,ATLASPDC-4-111606,5/30/2020,1/28/2020,,0,16/03/21,ok,not ok,2.0,1.0,True,False,False,False,False,False,True,False,False,True,ok,ok
pdf,124302_PRODOC.pdf,https://info.undp.org/docs/pdc/Documents/ARG/124302_PRODOC.pdf,ARG20010 - PRODOC,ARG,00124302,Project,PRODOC,ATLASPDC-4-126343,12/01/20,12/01/20,,0,16/03/21,bad,ok,3.0,60.0,False,True,False,False,True,False,True,True,True,False,ok,ok
pdf,124302_Revisión B.pdf,https://info.undp.org/docs/pdc/Documents/ARG/124302_Revisión B.pdf,ARG20010 - Revisión B,ARG,00124302,Project,PRODOC,ATLASPDC-4-128781,01/12/21,01/12/21,,0,16/03/21,bad,ok,2.0,32.0,False,False,False,False,True,False,True,True,True,True,ok,ok
document deleted,EF - Fondo para Proteccion Social.pdf,Document deleted,EF  Fondo para Proteccion Social,PRY,00124335,Project,PRODOC,ATLASPDC-4-110974,1/14/2020,1/14/2020,,0,16/03/21,ok,ok,0.0,14.0,False,False,False,False,False,False,False,True,False,False,ok,ok
document deleted,PRODOC firmado_Scan 31 Aug 2020.pdf,Document deleted,PRODOC firmado_Scan 31 Aug 2020,MEX,00124340,Project,PRODOC,ATLASPDC-4-128070,12/28/2020,12/28/2020,,0,16/03/21,ok,ok,1.0,24.0,False,False,False,False,False,False,True,True,True,False,ok,ok
document deleted,Pro Doc_EN.pdf,Document deleted,Pro Doc,CHN,00124360,Project,PRODOC,ATLASPDC-4-109549,5/18/2020,12/18/2019,,0,16/03/21,ok,ok,6.0,26.0,True,True,True,False,True,True,True,True,True,False,ok,ok
document deleted,ProDoc Democracy 25 Feb 2020.pdf,Document deleted,Democracy Strengthening in Zambia,ZMB,00124412,Project,PRODOC,ATLASPDC-4-116301,03/06/20,03/06/20,,0,16/03/21,ok,ok,7.0,72.0,True,True,True,True,True,True,True,False,True,False,ok,ok
pdf,Digital Transformation initiation plan signed.pdf,https://info.undp.org/docs/pdc/Documents/BIH/Digital Transformation initiation plan signed.pdf,Digital Transformation Initiation Plan,BIH,00124413,Project,PRODOC,ATLASPDC-4-115058,12/14/2020,02/03/20,,0,16/03/21,good,ok,7.0,4.0,True,True,True,True,True,True,True,True,False,False,ok,ok
document deleted,Prodoc Enquetes ODD pdf.pdf,Document deleted,Prodoc Projet Enquetes ODD RDC,COD,00124418,Project,PRODOC,ATLASPDC-4-116287,03/05/20,03/05/20,,0,16/03/21,ok,ok,4.0,28.0,True,True,True,False,False,False,True,True,True,True,ok,ok
document deleted,REAP_project document_.pdf,Document deleted,Prodoc REAP,MDG,00124445,Project,PRODOC,ATLASPDC-4-116864,3/18/2020,3/18/2020,,0,16/03/21,ok,ok,3.0,36.0,True,False,True,False,False,False,True,True,True,False,ok,ok
document deleted,Project Proposal (CH).pdf,Document deleted,Project Proposal CH,CHN,00124481,Project,PRODOC,ATLASPDC-4-117014,3/24/2020,3/24/2020,,0,16/03/21,ok,review,0.0,50.0,False,False,False,False,False,False,False,False,False,False,ok,ok
